STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020040900,"MADRAS MINAMBAKKAM, IN",01-01-2000,0,79,,70
IN020040900,"MADRAS MINAMBAKKAM, IN",02-01-2000,0,79,,67
IN020040900,"MADRAS MINAMBAKKAM, IN",03-01-2000,0,77,83,
IN020040900,"MADRAS MINAMBAKKAM, IN",04-01-2000,0,78,,68
IN020040900,"MADRAS MINAMBAKKAM, IN",05-01-2000,,80,,71
IN020040900,"MADRAS MINAMBAKKAM, IN",06-01-2000,0.02,80,,74
IN020040900,"MADRAS MINAMBAKKAM, IN",07-01-2000,0,81,,74
IN020040900,"MADRAS MINAMBAKKAM, IN",08-01-2000,,80,,72
IN020040900,"MADRAS MINAMBAKKAM, IN",09-01-2000,0,80,86,71
IN020040900,"MADRAS MINAMBAKKAM, IN",10-01-2000,0,79,,73
IN020040900,"MADRAS MINAMBAKKAM, IN",11-01-2000,0,80,,71
IN020040900,"MADRAS MINAMBAKKAM, IN",12-01-2000,0,80,,71
IN020040900,"MADRAS MINAMBAKKAM, IN",13-01-2000,0,80,,70
IN020040900,"MADRAS MINAMBAKKAM, IN",14-01-2000,,79,,
IN020040900,"MADRAS MINAMBAKKAM, IN",15-01-2000,,79,89,69
IN020040900,"MADRAS MINAMBAKKAM, IN",16-01-2000,,80,,71
IN020040900,"MADRAS MINAMBAKKAM, IN",17-01-2000,,80,,70
IN020040900,"MADRAS MINAMBAKKAM, IN",18-01-2000,,78,,69
IN020040900,"MADRAS MINAMBAKKAM, IN",19-01-2000,,78,,69
IN020040900,"MADRAS MINAMBAKKAM, IN",20-01-2000,,81,,70
IN020040900,"MADRAS MINAMBAKKAM, IN",21-01-2000,,81,,67
IN020040900,"MADRAS MINAMBAKKAM, IN",22-01-2000,,78,,66
IN020040900,"MADRAS MINAMBAKKAM, IN",23-01-2000,,80,,63
IN020040900,"MADRAS MINAMBAKKAM, IN",24-01-2000,,79,,68
IN020040900,"MADRAS MINAMBAKKAM, IN",25-01-2000,,80,,69
IN020040900,"MADRAS MINAMBAKKAM, IN",26-01-2000,,79,,70
IN020040900,"MADRAS MINAMBAKKAM, IN",27-01-2000,,77,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",28-01-2000,,79,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",29-01-2000,,80,,70
IN020040900,"MADRAS MINAMBAKKAM, IN",30-01-2000,,80,,69
IN020040900,"MADRAS MINAMBAKKAM, IN",31-01-2000,,80,,67
IN020040900,"MADRAS MINAMBAKKAM, IN",01-02-2000,,76,86,67
IN020040900,"MADRAS MINAMBAKKAM, IN",02-02-2000,,79,,65
